"","TWII.Open","TWII.High","TWII.Low","TWII.Close","TWII.Volume","TWII.Adjusted"
"1",8035.209961,8091.47998,8003.930176,8067.600098,0,8067.589038
"2",8081.890137,8151.200195,8047.310059,8140.47998,0,8140.468821
"3",8115.609863,8159.680176,8061.259766,8159.680176,0,8159.66899
"4",8159.930176,8166.959961,8067.330078,8095.97998,0,8095.968882
"5",8108.680176,8165.97998,8080.649902,8131.259766,0,8131.248618
"6",8150.379883,8356.959961,8119.709961,8344.44043,0,8344.42899
"7",8329.69043,8354.620117,8298,8300.660156,0,8300.648777
"8",8352.839844,8417.269531,8352.839844,8396.200195,293472200,8396.188685
"9",8400.889648,8410.740234,8376.599609,8394.120117,0,8394.10861
"10",8415.589844,8463.610352,8415.589844,8463.610352,0,8463.598749
"11",8476.620117,8563.400391,8462.150391,8535.870117,0,8535.858415
"12",8532.209961,8545.730469,8488.900391,8535.589844,0,8535.578142
"13",8516.080078,8603.629883,8514.120117,8597.160156,0,8597.14837
"14",8598.469727,8635.030273,8553.540039,8556.019531,0,8556.007802
"15",8565.179688,8601.049805,8559.769531,8587.360352,0,8587.348579
"16",8605.150391,8664.120117,8557.679688,8597.110352,174068500,8597.10369
"17",8622.209961,8692.730469,8621.459961,8679.900391,0,8679.893665
"18",8704.660156,8754.820312,8690.589844,8715.480469,0,8715.473715
"19",8634.240234,8634.240234,8520.209961,8536.219727,169479400,8536.219727
"20",8513.509766,8577.30957,8503.419922,8576.120117,0,8576.120117
"21",8566.429688,8608.290039,8524.549805,8606.370117,0,8606.370117
"22",8583.19043,8584.669922,8476.839844,8494.139648,0,8494.139648
"23",8538.280273,8607.160156,8538.280273,8568.080078,0,8568.080078
"24",8612.259766,8642.150391,8604.80957,8625.919922,0,8625.919922
"25",8633.209961,8684.849609,8627.400391,8684.849609,0,8684.849609
"26",8675.120117,8716.25,8653.040039,8716.25,0,8716.25
"27",8706.080078,8711.209961,8662.780273,8676.679688,0,8676.679688
"28",8684.530273,8691.299805,8374.259766,8476.990234,0,8476.990234
"29",8406.290039,8468.660156,8386.269531,8458.870117,0,8458.870117
"30",8438.759766,8505.509766,8396.009766,8505.509766,0,8505.509766
"31",8530.370117,8609.230469,8530.370117,8586.55957,0,8586.55957
"32",8615.459961,8666.580078,8583.769531,8666.580078,0,8666.580078
"33",8692.480469,8755.620117,8680.530273,8738.240234,0,8738.240234
"34",8728.320312,8782.379883,8712.120117,8760.580078,0,8760.580078
"35",8738.410156,8747.05957,8693.759766,8716.070312,0,8716.070312
"36",8673.530273,8673.530273,8569.150391,8575.75,0,8575.75
"37",8605.379883,8653.700195,8605.379883,8640.910156,0,8640.910156
"38",8728.230469,8795.799805,8728.230469,8786.469727,0,8786.469727
"39",8794.730469,8841.459961,8794.299805,8841.459961,0,8841.459961
"40",8847.040039,8865.419922,8800.169922,8857.75,0,8857.75
"41",8837.759766,8877.30957,8818.259766,8866.360352,0,8866.360352
"42",8857.150391,8949.849609,8857.150391,8949.849609,0,8949.849609
"43",8952.610352,9008.209961,8952.610352,9008.209961,0,9008.209961
"44",9018.799805,9034.870117,8972.830078,9034.870117,0,9034.870117
"45",9013.519531,9034.129883,8969.19043,9007.679688,0,9007.679688
"46",9010.219727,9075.889648,9009.790039,9056.55957,0,9056.55957
"47",9055.169922,9060.150391,9004.240234,9013.139648,0,9013.139648
"48",9030.360352,9085.910156,8916.049805,8991.669922,0,8991.669922
"49",8983.549805,9024.790039,8960.480469,9024.790039,0,9024.790039
"50",9058.19043,9084.900391,9042.139648,9063.389648,0,9063.389648
"51",9060.480469,9081.400391,9015.349609,9076.639648,0,9076.639648
"52",9066.370117,9071.509766,8984.410156,8984.410156,0,8984.410156
"53",9008.740234,9080.709961,9008.740234,9080.709961,0,9080.709961
"54",9081.05957,9086.419922,9052.709961,9068.759766,0,9068.759766
"55",9000.820312,9033.950195,8948.400391,9001.709961,0,9001.709961
"56",9009.290039,9035.25,8972.30957,9024.709961,0,9024.709961
"57",9025.759766,9101.709961,9023.230469,9092.120117,0,9092.120117
"58",9123.070312,9153.990234,9104.429688,9150.259766,0,9150.259766
"59",9154,9168.339844,9127.629883,9155.080078,0,9155.080078
"60",9160.94043,9200.419922,9131.629883,9200.419922,0,9200.419922
"61",9168.700195,9187.179688,9063.80957,9131.830078,0,9131.830078
"62",9135.339844,9173.719727,9135.339844,9150.389648,0,9150.389648
"63",9152.360352,9162.019531,9117.259766,9148.509766,0,9148.509766
"64",9146.089844,9165.580078,9082.339844,9110.360352,0,9110.360352
"65",9121.179688,9133.070312,9073.269531,9117.700195,0,9117.700195
"66",9104.879883,9128.799805,9093.509766,9122.5,0,9122.5
"67",9139.69043,9175.129883,9034.269531,9034.269531,0,9034.269531
"68",9004.679688,9012.719727,8928.330078,8981.80957,0,8981.80957
"69",8987.070312,9046.299805,8986.759766,9030.929688,0,9030.929688
"70",9043.129883,9054.759766,9016.389648,9017.379883,0,9017.379883
"71",9034.469727,9115.469727,9031.339844,9115.469727,0,9115.469727
"72",9097.019531,9131.719727,9092.080078,9131.719727,0,9131.719727
"73",9117.530273,9136.419922,9027.349609,9110.169922,0,9110.169922
"74",9113.339844,9134.370117,9093.870117,9110.55957,0,9110.55957
